Sku,Count
30S-000410-0406,1
30S-000410-0702,61
30S-000411-0101,168
30S-000411-0406,0
30S-000411-0701,242
30S-000412-0107,1
30S-000412-0407,2
30S-000412-2607,0
30S-000413-0101,293
30S-000413-0404,6
30S-000413-0904,251
30S-000414-0100,8
30S-000414-0107,113
30S-000414-2607,0
30S-000415-0404,0
30S-000415-2304,0
30S-000415-2907,18
30S-000416-0107,188
30S-000416-0107P,73
30S-000416-0604,172
30S-000416-0707,53
30S-000416-0707P,81
30S-000417-0106,0
30S-000417-1707,0
30S-000418-0107,0
30S-000418-0404,100
30S-000419-0107,227
30S-000419-0506,0
30S-000419-1406,0
30S-000420-0107,76
30S-000420-0504,0
30S-000421-0107,0
30S-000421-0607,0
30S-000422-0107,180
30S-000422-1207,29
30S-000423-0107,4
30S-000423-0404,0
30S-000424-1207,0
30S-000424-2004,0
30S-000424-2907,0
30S-000425-1207,2
30S-000425-2904,20
30S-000426-0106,0
30S-000426-1207,97
30S-000427-0107,9
30S-000427-0207,2
30S-000427-0404,50
30S-000428-0107,2
30S-000428-0207,0
30S-000428-0706,0
30S-000429-0207,224
30S-000429-1107,2
30S-000430-0702,59
